"","Agrupacion","Cargo","Codigo","Distrito","Establecimiento","Fecha","IdCargo","IdCircuito","IdDistrito","IdSeccion","Mesa","Seccion","electores","envio","idAgrupacion","idAgrupacionInt","tipoVoto","votos"
"72",NA,"CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,NA,NA,"nulos",10
"73",NA,"CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,NA,NA,"recurridos",1
"74",NA,"CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,NA,NA,"comando",0
"75",NA,"CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,NA,NA,"impugnados",0
"76","JUNTOS","CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,506,43,"positivo",112
"77","FRENTE DE TODOS","CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,507,44,"positivo",89
"78","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,504,41,"positivo",25
"79","AVANZA LIBERTAD","CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,503,40,"positivo",16
"80","FRENTE VAMOS CON VOS","CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,508,45,"positivo",11
"81",NA,"CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,NA,NA,"blancos",15
